MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Županovice,Jindřichův Hradec,Županovicích,"48.95716374,15.50612820"
Dolní Podluží,Děčín,Dolním Podluží,"50.87995391,14.59515027"
Počátky,Pelhřimov,Počátkách; Počátcích,"49.26025832,15.24024453"
Okrouhlička,Havlíčkův Brod,Okrouhličce,"49.53449100,15.55690807"
Heřmanice,Havlíčkův Brod,Heřmanicích,"49.82395939,15.54727841"
Pošná,Pelhřimov,Pošné,"49.45883488,15.04228215"
Zvěstovice,Havlíčkův Brod,Zvěstovicích,"49.84797350,15.51264373"
Vysoký Újezd,Hradec Králové,Vysokém Újezdě; Vysokém Újezdu,"50.24027935,16.02015305"
Davle,Praha-západ,Davli,"49.89225386,14.40043138"
Horoměřice,Praha-západ,Horoměřicích,"50.13180494,14.33885938"
Velká Hleďsebe,Cheb,Velké Hleďsebi,"49.96163018,12.66769711"
Kamenný Přívoz,Praha-západ,Kamenném Přívoze; Kamenném Přívozu,"49.86306713,14.50344624"
Heřmaničky,Benešov,Heřmaničkách,"49.60538051,14.58253013"
Dívčí Kopy,Jindřichův Hradec,Dívčích Kopách,"49.26034379,15.04592767"
Žďár,Jindřichův Hradec,Žďáru; Žďáře,"49.25415322,15.07658193"
Chmelná,Benešov,Chmelné,"49.64816639,14.98839700"
Čelistná,Pelhřimov,Čelistné,"49.36021927,15.20634654"
Hořovice,Beroun,Hořovicích,"49.83606086,13.90273864"
Hlízov,Kutná Hora,Hlízově,"49.98505095,15.29516444"
Královec,Trutnov,Královci,"50.67679805,15.97380490"
Velenov,Blansko,Velenově,"49.48686408,16.73279556"
Vojkov,Benešov,Vojkově,"49.65229155,14.51984668"
Bludov,Kutná Hora,Bludově,"49.80754808,15.25523477"
Močovice,Kutná Hora,Močovicích,"49.90636824,15.34825207"
Zdislavice,Benešov,Zdislavicích,"49.68654926,14.97453603"
Kamberk,Benešov,Kamberku,"49.59720082,14.84035426"
Souňov,Kutná Hora,Souňově,"49.88007723,15.31561612"
Běštín,Beroun,Běštíně,"49.80738664,14.01628817"
Bzová,Beroun,Bzové,"49.89797516,13.86246005"
Branice,Písek,Branicích,"49.40254414,14.33956861"
Kacákova Lhota,Jičín,Kacákově Lhotě,"50.40957843,15.41930663"
Cerhonice,Písek,Cerhonicích,"49.41807755,14.05566865"
Oldřichovice,Zlín,Oldřichovicích,"49.18177289,17.56135075"
Jetětice,Písek,Jetěticích,"49.38603088,14.29263796"
Kovářov,Písek,Kovářově,"49.51768117,14.27813345"
Králova Lhota,Písek,Králově Lhotě,"49.49578806,14.11058522"
Lety,Písek,Letech,"49.51701336,14.08780062"
Mirotice,Písek,Miroticích,"49.42916597,14.03700826"
Mirovice,Písek,Mirovicích,"49.51563802,14.03585857"
Mišovice,Písek,Mišovicích,"49.49533966,14.00497215"
Nadějkov,Tábor,Nadějkově,"49.50278750,14.47927200"
Nevězice,Písek,Nevězicích,"49.47781199,14.15339559"
Dolní Pěna,Jindřichův Hradec,Dolní Pěně,"49.11056576,15.02206650"
Okrouhlá Radouň,Jindřichův Hradec,Okrouhlé Radouni,"49.23978740,15.01709213"
Kačlehy,Jindřichův Hradec,Kačlehách,"49.10892438,15.07707987"
Dolní Žďár,Jindřichův Hradec,Dolním Žďáru; Dolním Žďáře,"49.10119018,14.98818920"
Krásná Lípa,Děčín,Krásné Lípě,"50.91310290,14.51010712"
Frahelž,Jindřichův Hradec,Frahelži,"49.11720015,14.73194339"
Ponědrážka,Jindřichův Hradec,Ponědrážce,"49.13660205,14.70333509"
Báňovice,Jindřichův Hradec,Báňovicích,"49.01180718,15.49024736"
Bořetín,Jindřichův Hradec,Bořetíně,"49.18927902,15.21185781"
Jilem,Jindřichův Hradec,Jilmu,"49.17672678,15.26884035"
Hrachoviště,Jindřichův Hradec,Hrachovišti,"48.92943915,14.77111649"
Hodonice,Tábor,Hodonicích,"49.26859867,14.48738852"
Verneřice,Děčín,Verneřicích,"50.66121773,14.30124799"
Košín,Tábor,Košíně,"49.45647608,14.65847896"
Chomutov,Chomutov,Chomutově,"50.46057387,13.41787994"
Hodonín,Blansko,Hodoníně,"49.50121496,16.41030738"
Kněževes,Blansko,Kněževsi,"49.58705615,16.42382453"
Krhov,Blansko,Krhově,"49.46028703,16.58384833"
Křtiny,Blansko,Křtinách,"49.29707919,16.74410940"
Kunčina Ves,Blansko,Kunčině Vsi,"49.44700999,16.47529057"
Komárov,Beroun,Komárově,"49.80658600,13.85641517"
Adamov,Kutná Hora,Adamově,"49.85786965,15.40896863"
Schořov,Kutná Hora,Schořově,"49.85818214,15.37995296"
Liteň,Beroun,Litni,"49.90378915,14.14904564"
Hostín,Mělník,Hostíně,"50.34049407,14.58897524"
Liblice,Mělník,Liblicích,"50.31339903,14.59049151"
Křešín,Příbram,Křešíně,"49.79953611,13.94812169"
Palonín,Šumperk,Paloníně,"49.72896968,16.95267092"
